-- SHOP

sid;nazwa;kierownik
72;20211231;3;63
72;20211231;3;33
73;20211231;1;37
74;20211231;3;82
75;20211231;4;31
75;20211231;4;23
76;20211231;1;37
77;20211231;4;15
77;20211231;4;40
77;20211231;4;11
78;20211231;1;23
78;20211231;1;67
79;20211231;1;57
79;20211231;1;62
79;20211231;1;35
79;20211231;1;15
79;20211231;1;58
80;20211231;3;83
81;20211231;1;23
81;20211231;1;70
81;20211231;1;30
82;20211231;2;21
82;20211231;2;35
82;20211231;2;26
82;20211231;2;30
82;20211231;2;12
83;20211231;1;15
83;20211231;1;27
83;20211231;1;84
83;20211231;1;30
84;20211231;1;21
84;20211231;1;57
84;20211231;1;64
84;20211231;1;15
84;20211231;1;23
84;20211231;1;38
85;20211231;1;27
86;20211231;2;27
86;20211231;2;9
87;20211231;2;40
87;20211231;2;18
88;20211231;1;11
89;20211231;2;85
89;20211231;2;14
90;20211231;2;21
90;20211231;2;30
90;20211231;2;11
90;20211231;2;12
91;20211231;2;11
92;20211231;2;21
92;20211231;2;64
92;20211231;2;1
92;20211231;2;49
92;20211231;2;35
92;20211231;2;15
92;20211231;2;22
92;20211231;2;20
92;20211231;2;27
92;20211231;2;86
92;20211231;2;23
92;20211231;2;87
93;20211231;2;39
93;20211231;2;11
94;20211231;1;39
95;20211231;1;21
95;20211231;1;2
95;20211231;1;23
95;20211231;1;30
95;20211231;1;37
95;20211231;1;12
96;20211231;4;54
96;20211231;4;31
96;20211231;4;63
96;20211231;4;55
97;20211231;2;25
97;20211231;2;54
97;20211231;2;34
97;20211231;2;50
97;20211231;2;42
97;20211231;2;46
97;20211231;2;88
97;20211231;2;66
98;20211231;1;76
98;20211231;1;23
98;20211231;1;37
99;20211231;1;37
100;20211230;3;34
100;20211230;3;29
100;20211230;3;62
100;20211230;3;35
100;20211230;3;40
100;20211230;3;12
101;20211230;4;15
101;20211230;4;89
101;20211230;4;40
102;20211230;1;21
102;20211230;1;64
102;20211230;1;27
102;20211230;1;2
102;20211230;1;23
102;20211230;1;81
102;20211230;1;90
102;20211230;1;91
103;20211230;2;25
103;20211230;2;21
103;20211230;2;62
103;20211230;2;40
103;20211230;2;31
103;20211230;2;2
103;20211230;2;23
103;20211230;2;71
103;20211230;2;8
104;20211230;2;54
104;20211230;2;35
104;20211230;2;40
104;20211230;2;23
105;20211230;4;62
105;20211230;4;27
105;20211230;4;36
105;20211230;4;92
105;20211230;4;47
106;20211230;1;62
106;20211230;1;65
106;20211230;1;35
106;20211230;1;15
106;20211230;1;2
106;20211230;1;23
107;20211230;1;15
107;20211230;1;20
107;20211230;1;78
107;20211230;1;38
108;20211230;2;1
108;20211230;2;49
108;20211230;2;15
108;20211230;2;31
108;20211230;2;3
108;20211230;2;26
108;20211230;2;20
108;20211230;2;5
108;20211230;2;23
108;20211230;2;75
109;20211230;1;1
109;20211230;1;49
109;20211230;1;31
109;20211230;1;70
109;20211230;1;38
109;20211230;1;41
109;20211230;1;77
109;20211230;1;11
110;20211230;3;35
110;20211230;3;15
110;20211230;3;40
110;20211230;3;30
110;20211230;3;39
110;20211230;3;63
110;20211230;3;93
110;20211230;3;61
111;20211230;1;1
111;20211230;1;49
111;20211230;1;15
111;20211230;1;23
112;20211230;2;21
112;20211230;2;42
112;20211230;2;10
112;20211230;2;61
113;20211230;1;86
113;20211230;1;23
113;20211230;1;40
113;20211230;1;11
114;20211230;4;41
114;20211230;4;23
114;20211230;4;30
114;20211230;4;56
115;20211230;3;25
115;20211230;3;64
115;20211230;3;16
115;20211230;3;58
115;20211230;3;94
116;20211230;4;57
116;20211230;4;35
116;20211230;4;20
116;20211230;4;23
116;20211230;4;30
116;20211230;4;12
117;20211230;1;15
117;20211230;1;27
118;20211230;2;23
118;20211230;2;30
119;20211230;2;21
119;20211230;2;44
119;20211230;2;15
119;20211230;2;31
119;20211230;2;26
119;20211230;2;2
119;20211230;2;23
119;20211230;2;40
119;20211230;2;10
120;20211230;1;76
121;20211230;2;49
122;20211230;1;44
122;20211230;1;35
122;20211230;1;18
123;20211230;1;62
123;20211230;1;35
123;20211230;1;26
124;20211230;1;30
125;20211230;1;40
125;20211230;1;26
126;20211230;4;21
126;20211230;4;1
126;20211230;4;49
126;20211230;4;34
126;20211230;4;35
126;20211230;4;15
126;20211230;4;26
126;20211230;4;23
126;20211230;4;40
126;20211230;4;30
126;20211230;4;56
126;20211230;4;11
127;20211230;2;62
127;20211230;2;15
127;20211230;2;17
127;20211230;2;47
128;20211230;1;57
128;20211230;1;29
128;20211230;1;62
128;20211230;1;35
128;20211230;1;70
128;20211230;1;9
129;20211230;3;57
130;20211230;1;56
131;20211230;1;18
132;20211230;2;92
132;20211230;2;12
133;20211230;1;40
134;20211230;2;25
134;20211230;2;21
134;20211230;2;40
134;20211230;2;20
134;20211230;2;23
134;20211230;2;38
134;20211230;2;81
135;20211230;3;34
135;20211230;3;44
135;20211230;3;50
135;20211230;3;35
135;20211230;3;15
135;20211230;3;56
135;20211230;3;41
135;20211230;3;95
135;20211230;3;88
135;20211230;3;30
135;20211230;3;10
135;20211230;3;61
136;20211230;4;37
137;20211230;1;62
138;20211230;3;25
138;20211230;3;23
138;20211230;3;40
138;20211230;3;18
138;20211230;3;10
139;20211230;3;34
139;20211230;3;38
139;20211230;3;96
140;20211230;2;34
140;20211230;2;62
140;20211230;2;65
140;20211230;2;15
140;20211230;2;22
140;20211230;2;20
140;20211230;2;32
140;20211230;2;10
141;20211230;3;48
141;20211230;3;35
141;20211230;3;15
141;20211230;3;31
141;20211230;3;26
141;20211230;3;23
141;20211230;3;70
141;20211230;3;78
141;20211230;3;38
141;20211230;3;40
141;20211230;3;18
142;20211230;2;40
142;20211230;2;44
142;20211230;2;35
142;20211230;2;15
142;20211230;2;3
142;20211230;2;26
142;20211230;2;20
142;20211230;2;23
142;20211230;2;52
142;20211230;2;30
142;20211230;2;72
143;20211230;4;40
143;20211230;4;1
143;20211230;4;49
143;20211230;4;34
143;20211230;4;62
143;20211230;4;15
143;20211230;4;97
143;20211230;4;23
144;20211230;1;25
144;20211230;1;1
144;20211230;1;49
144;20211230;1;50
144;20211230;1;35
144;20211230;1;15
144;20211230;1;23
144;20211230;1;41
144;20211230;1;30
145;20211230;1;37
146;20211230;1;25
146;20211230;1;44
146;20211230;1;70
147;20211230;1;7
147;20211230;1;15
147;20211230;1;31
147;20211230;1;26
147;20211230;1;56
147;20211230;1;28
147;20211230;1;89
147;20211230;1;92
147;20211230;1;40
147;20211230;1;39
148;20211230;1;52
149;20211230;1;40
149;20211230;1;26
150;20211230;2;1
150;20211230;2;49
150;20211230;2;34
150;20211230;2;98
151;20211230;3;21
151;20211230;3;15
151;20211230;3;26
151;20211230;3;23
151;20211230;3;28
151;20211230;3;83
152;20211230;4;15
152;20211230;4;4
152;20211230;4;70
152;20211230;4;18
152;20211230;4;72
153;20211230;4;37
154;20211230;1;1
154;20211230;1;49
154;20211230;1;41
154;20211230;1;99
155;20211230;3;33
156;20211230;2;1
156;20211230;2;49
156;20211230;2;35
156;20211230;2;23
156;20211230;2;71
156;20211230;2;12
157;20211230;4;21
158;20211230;4;48
158;20211230;4;62
158;20211230;4;35
158;20211230;4;15
158;20211230;4;26
158;20211230;4;20
158;20211230;4;68
158;20211230;4;32
158;20211230;4;38
159;20211230;1;21
159;20211230;1;57
159;20211230;1;35
159;20211230;1;3
159;20211230;1;26
159;20211230;1;42
159;20211230;1;30
160;20211230;1;64
160;20211230;1;29
160;20211230;1;62
160;20211230;1;15
160;20211230;1;20
161;20211230;1;1
161;20211230;1;49
161;20211230;1;7
161;20211230;1;26
161;20211230;1;40
162;20211230;2;84
162;20211230;2;12
163;20211230;1;77
164;20211230;1;11
165;20211230;4;64
165;20211230;4;1
165;20211230;4;49
165;20211230;4;35
165;20211230;4;26
166;20211230;1;21
166;20211230;1;23
167;20211230;1;25
167;20211230;1;64
167;20211230;1;62
167;20211230;1;31
167;20211230;1;3
167;20211230;1;26
167;20211230;1;45
167;20211230;1;23
167;20211230;1;89
167;20211230;1;92
167;20211230;1;37
167;20211230;1;10
167;20211230;1;61
168;20211230;2;37
169;20211230;1;63
170;20211230;2;50
170;20211230;2;30
170;20211230;2;67
170;20211230;2;56
170;20211230;2;11
171;20211230;1;34
171;20211230;1;7
171;20211230;1;41
171;20211230;1;13
171;20211230;1;77
172;20211230;3;40
172;20211230;3;39
173;20211230;1;64
173;20211230;1;13
173;20211230;1;70
173;20211230;1;52
173;20211230;1;47
174;20211230;2;21
174;20211230;2;40
174;20211230;2;34
174;20211230;2;62
174;20211230;2;15
174;20211230;2;26
174;20211230;2;77
174;20211230;2;85
175;20211230;1;40
175;20211230;1;15
175;20211230;1;81
175;20211230;1;8
175;20211230;1;12
176;20211230;1;76
177;20211230;3;54
177;20211230;3;86
177;20211230;3;63
178;20211230;4;35
178;20211230;4;26
178;20211230;4;28
178;20211230;4;100
179;20211230;4;40
179;20211230;4;55
180;20211230;1;34
180;20211230;1;30
180;20211230;1;71
181;20211230;2;94
182;20211230;1;21
182;20211230;1;1
182;20211230;1;49
182;20211230;1;26
182;20211230;1;12
182;20211230;1;30
182;20211230;1;37
182;20211230;1;58
183;20211230;3;60
183;20211230;3;62
184;20211230;1;56
184;20211230;1;28
184;20211230;1;94
185;20211230;3;23
185;20211230;3;101
185;20211230;3;37
186;20211230;1;34
186;20211230;1;15
187;20211230;4;40
188;20211230;1;25
188;20211230;1;35
188;20211230;1;26
188;20211230;1;28
188;20211230;1;40
189;20211230;1;29
189;20211230;1;62
189;20211230;1;35
189;20211230;1;31
189;20211230;1;22
189;20211230;1;41
189;20211230;1;102
189;20211230;1;38
189;20211230;1;39
189;20211230;1;82
189;20211230;1;47
190;20211230;4;38
190;20211230;4;10
191;20211230;1;34
191;20211230;1;26
191;20211230;1;23
191;20211230;1;30
191;20211230;1;12
192;20211230;1;43
192;20211230;1;35
192;20211230;1;20
192;20211230;1;86
192;20211230;1;23
192;20211230;1;30
192;20211230;1;39
192;20211230;1;56
192;20211230;1;77
193;20211230;2;48
193;20211230;2;13
193;20211230;2;71
194;20211230;4;26
194;20211230;4;103
194;20211230;4;23
194;20211230;4;30
194;20211230;4;61
195;20211230;3;30
195;20211230;3;82
196;20211230;1;26
197;20211230;2;30
198;20211230;4;40
199;20211230;1;21
199;20211230;1;54
199;20211230;1;48
200;20211229;2;1
200;20211229;2;49
200;20211229;2;44
200;20211229;2;27
200;20211229;2;86
200;20211229;2;17
200;20211229;2;30
200;20211229;2;18
200;20211229;2;72
201;20211229;1;12
202;20211229;1;11
203;20211229;1;25
203;20211229;1;35
203;20211229;1;15
203;20211229;1;31
203;20211229;1;19
203;20211229;1;79
203;20211229;1;9
203;20211229;1;87
204;20211229;2;25
204;20211229;2;23
205;20211229;4;75
205;20211229;4;71
206;20211229;1;42
207;20211229;3;31
207;20211229;3;27
207;20211229;3;41
207;20211229;3;23
207;20211229;3;70
207;20211229;3;30
207;20211229;3;55
207;20211229;3;67
208;20211229;1;35
208;20211229;1;40
208;20211229;1;82
209;20211229;4;25
209;20211229;4;15
209;20211229;4;22
210;20211229;1;62
210;20211229;1;15
210;20211229;1;40
210;20211229;1;104
210;20211229;1;103
210;20211229;1;71
211;20211229;1;34
211;20211229;1;15
211;20211229;1;4
211;20211229;1;63
212;20211229;1;64
212;20211229;1;48
212;20211229;1;44
213;20211229;4;29
213;20211229;4;20
213;20211229;4;73
213;20211229;4;72
213;20211229;4;12
214;20211229;3;37
215;20211229;3;20
215;20211229;3;37
215;20211229;3;93
216;20211229;4;62
216;20211229;4;56
216;20211229;4;38
216;20211229;4;105
216;20211229;4;77
217;20211229;1;15
217;20211229;1;30
218;20211229;2;64
219;20211229;3;16
220;20211229;3;23
220;20211229;3;63
221;20211229;1;15
221;20211229;1;10
222;20211229;4;15
223;20211229;1;1
223;20211229;1;15
223;20211229;1;31
223;20211229;1;45
224;20211229;1;70
224;20211229;1;18
225;20211229;2;25
225;20211229;2;21
225;20211229;2;57
225;20211229;2;44
225;20211229;2;40
225;20211229;2;104
225;20211229;2;13
225;20211229;2;28
226;20211229;3;34
226;20211229;3;62
226;20211229;3;15
226;20211229;3;20
226;20211229;3;56
227;20211229;1;25
227;20211229;1;21
227;20211229;1;62
227;20211229;1;26
227;20211229;1;20
227;20211229;1;70
227;20211229;1;61
228;20211229;2;29
228;20211229;2;62
228;20211229;2;35
228;20211229;2;7
228;20211229;2;15
228;20211229;2;31
228;20211229;2;24
228;20211229;2;73
228;20211229;2;9
228;20211229;2;47
229;20211229;4;23
229;20211229;4;28
229;20211229;4;70
229;20211229;4;12
229;20211229;4;63
230;20211229;4;62
230;20211229;4;7
230;20211229;4;31
230;20211229;4;3
230;20211229;4;16
230;20211229;4;12
231;20211229;3;26
232;20211229;2;35
232;20211229;2;40
233;20211229;1;29
233;20211229;1;13
234;20211229;1;29
234;20211229;1;12
235;20211229;1;35
235;20211229;1;22
235;20211229;1;4
235;20211229;1;40
236;20211229;1;23
236;20211229;1;11
237;20211229;1;43
237;20211229;1;1
237;20211229;1;49
237;20211229;1;15
237;20211229;1;20
237;20211229;1;23
237;20211229;1;70
237;20211229;1;72
237;20211229;1;10
238;20211229;4;15
238;20211229;4;5
238;20211229;4;71
238;20211229;4;61
239;20211229;1;34
239;20211229;1;22
239;20211229;1;23
239;20211229;1;40
240;20211229;1;40
241;20211229;4;22
241;20211229;4;26
242;20211229;4;11
243;20211229;3;12
244;20211229;3;63
244;20211229;3;49
245;20211229;1;50
245;20211229;1;40
245;20211229;1;20
245;20211229;1;86
245;20211229;1;16
245;20211229;1;52
245;20211229;1;77
245;20211229;1;61
245;20211229;1;66
246;20211229;2;48
246;20211229;2;86
246;20211229;2;4
246;20211229;2;52
246;20211229;2;74
246;20211229;2;71
246;20211229;2;12
247;20211229;3;21
247;20211229;3;106
247;20211229;3;35
247;20211229;3;41
247;20211229;3;70
247;20211229;3;47
247;20211229;3;12
248;20211229;1;86
248;20211229;1;70
248;20211229;1;61
249;20211229;2;21
249;20211229;2;34
249;20211229;2;107
249;20211229;2;23
250;20211229;1;48
251;20211229;1;50
251;20211229;1;15
251;20211229;1;27
251;20211229;1;5
252;20211229;2;26
252;20211229;2;23
252;20211229;2;70
252;20211229;2;40
252;20211229;2;30
252;20211229;2;12
253;20211229;1;30
254;20211229;3;2
255;20211229;3;21
255;20211229;3;15
255;20211229;3;12
256;20211229;2;26
256;20211229;2;56
257;20211229;2;56
257;20211229;2;23
257;20211229;2;87
257;20211229;2;10
258;20211229;3;15
259;20211229;4;54
259;20211229;4;35
259;20211229;4;15
259;20211229;4;20
260;20211229;1;87
260;20211229;1;10
260;20211229;1;61
261;20211229;3;35
261;20211229;3;93
262;20211229;4;35
262;20211229;4;15
262;20211229;4;23
262;20211229;4;36
263;20211229;3;34
263;20211229;3;35
264;20211229;2;9
265;20211229;1;76
266;20211229;3;25
266;20211229;3;26
267;20211229;4;37
268;20211229;1;40
269;20211229;2;35
269;20211229;2;15
269;20211229;2;23
269;20211229;2;38
269;20211229;2;40
269;20211229;2;63
270;20211229;4;1
270;20211229;4;34
270;20211229;4;50
270;20211229;4;35
270;20211229;4;12
271;20211229;4;21
271;20211229;4;43
271;20211229;4;48
271;20211229;4;15
271;20211229;4;30
271;20211229;4;108
271;20211229;4;11
272;20211229;4;56
272;20211229;4;23
272;20211229;4;9
272;20211229;4;61
273;20211229;3;68
273;20211229;3;16
273;20211229;3;12
273;20211229;3;30
273;20211229;3;18
273;20211229;3;71
274;20211229;2;57
274;20211229;2;1
274;20211229;2;49
274;20211229;2;44
274;20211229;2;26
274;20211229;2;18
274;20211229;2;109
275;20211229;2;64
275;20211229;2;29
275;20211229;2;20
275;20211229;2;56
275;20211229;2;23
276;20211229;1;35
276;20211229;1;17
277;20211229;1;40
277;20211229;1;26
277;20211229;1;2
277;20211229;1;23
277;20211229;1;67
277;20211229;1;58
278;20211229;2;30
278;20211229;2;67
279;20211229;3;15
280;20211229;2;23
281;20211229;1;63
282;20211229;2;70
283;20211229;4;29
283;20211229;4;17
283;20211229;4;55
283;20211229;4;12
284;20211229;1;15
284;20211229;1;42
284;20211229;1;18
285;20211229;1;30
285;20211229;1;39
286;20211229;3;40
286;20211229;3;30
287;20211229;2;34
287;20211229;2;35
287;20211229;2;23
288;20211229;1;71
289;20211229;2;40
289;20211229;2;37
290;20211229;1;56
291;20211229;4;1
291;20211229;4;84
291;20211229;4;41
291;20211229;4;16
292;20211229;3;40
292;20211229;3;37
292;20211229;3;110
293;20211229;1;50
293;20211229;1;35
293;20211229;1;70
293;20211229;1;40
293;20211229;1;30
293;20211229;1;61
294;20211229;2;3
294;20211229;2;42
294;20211229;2;73
294;20211229;2;30
295;20211229;4;64
295;20211229;4;35
295;20211229;4;15
295;20211229;4;19
295;20211229;4;23
295;20211229;4;42
295;20211229;4;38
295;20211229;4;12
295;20211229;4;51
295;20211229;4;10
295;20211229;4;11
296;20211229;1;64
296;20211229;1;34
296;20211229;1;62
296;20211229;1;50
296;20211229;1;35
296;20211229;1;100
296;20211229;1;30
297;20211229;2;30
298;20211229;2;12
298;20211229;2;10
299;20211229;1;23
299;20211229;1;28
299;20211229;1;40
300;20211228;2;57
300;20211228;2;64
300;20211228;2;48
300;20211228;2;35
300;20211228;2;15
300;20211228;2;16
300;20211228;2;23
300;20211228;2;38
300;20211228;2;12
301;20211228;3;30
301;20211228;3;37
301;20211228;3;33
301;20211228;3;10
301;20211228;3;61
301;20211228;3;11
302;20211228;1;21
302;20211228;1;43
302;20211228;1;35
302;20211228;1;76
302;20211228;1;13
303;20211228;1;64
303;20211228;1;62
303;20211228;1;35
303;20211228;1;23
303;20211228;1;41
304;20211228;1;57
304;20211228;1;76
304;20211228;1;10
304;20211228;1;90
305;20211228;1;29
305;20211228;1;7
305;20211228;1;15
305;20211228;1;76
305;20211228;1;18
305;20211228;1;71
305;20211228;1;9
306;20211228;3;21
306;20211228;3;35
306;20211228;3;31
306;20211228;3;26
306;20211228;3;20
306;20211228;3;16
306;20211228;3;23
306;20211228;3;102
307;20211228;1;40
307;20211228;1;39
307;20211228;1;66
308;20211228;1;34
308;20211228;1;35
308;20211228;1;7
308;20211228;1;15
308;20211228;1;86
308;20211228;1;5
308;20211228;1;52
308;20211228;1;40
309;20211228;3;65
309;20211228;3;40
310;20211228;2;26
310;20211228;2;23
311;20211228;2;36
312;20211228;3;82
313;20211228;4;12
314;20211228;1;63
314;20211228;1;49
315;20211228;1;64
315;20211228;1;62
316;20211228;2;15
316;20211228;2;13
316;20211228;2;72
317;20211228;1;25
317;20211228;1;23
317;20211228;1;70
317;20211228;1;9
318;20211228;4;25
318;20211228;4;21
318;20211228;4;106
318;20211228;4;62
318;20211228;4;31
318;20211228;4;16
318;20211228;4;23
318;20211228;4;78
318;20211228;4;10
318;20211228;4;94
319;20211228;2;35
319;20211228;2;15
319;20211228;2;41
320;20211228;4;25
320;20211228;4;62
320;20211228;4;92
320;20211228;4;30
320;20211228;4;111
321;20211228;1;15
321;20211228;1;23
321;20211228;1;11
322;20211228;2;25
322;20211228;2;38
322;20211228;2;51
323;20211228;2;35
323;20211228;2;71
324;20211228;2;40
324;20211228;2;12
325;20211228;2;57
325;20211228;2;50
325;20211228;2;15
325;20211228;2;40
325;20211228;2;23
325;20211228;2;70
325;20211228;2;96
325;20211228;2;10
326;20211228;1;40
327;20211228;2;35
327;20211228;2;20
327;20211228;2;68
327;20211228;2;56
328;20211228;4;48
328;20211228;4;15
328;20211228;4;31
328;20211228;4;52
328;20211228;4;37
329;20211228;1;48
329;20211228;1;1
329;20211228;1;35
330;20211228;1;12
331;20211228;1;15
331;20211228;1;41
331;20211228;1;30
